saleshistorykey,realestatepropertycode,salestypedsc,saledate,saleamt,propertystreetnbrnametext,propertyclasstypedsc,coolingtypedsc,dwellingtypedsc,heatingtypedsc,dwellingyearbuiltdate,storiesquantitydsc,fireplacecnt,bedroomcnt,bathroomcnt
750884569,7008036,t Applicable,1986-07-08,160000,1921 N WOODLEY ST,-Townhouse (fee simple own),Central air,71 - Townhouse End Unit,Forced hot air,1974,3.0,0,0,4
750712617,1036023,t Applicable,2015-05-18,761000,6559 28th ST N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1951,2.0,1,3,3
750749401,2050002,t Applicable,2005-11-14,1300000,5218 28th ST N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air-gas,2004,2.0,1,4,6
750899313,7042004,"Foreclosure, Auction, Bankru",2009-10-06,425000,1317 N GLEBE RD,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,2010,2.0,0,5,4
751459261,28020010,t Applicable,2022-04-27,650000,2200 S DINWIDDIE ST,-Single Family Detached,None,31 - 2 Story,Hot water,1947,1.0,1,0,0
751640369,35006542,t Applicable,1996-04-15,75000,1300 ARMY NAVY DR 0910,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1965,1.00,0,0,1
750719197,1056014,t Applicable,1998-04-28,226000,2505 N MCKINLEY ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1948,2.00,2,3,3
751561493,31008074,t Applicable,1996-03-28,182400,2045 S GLEBE RD,-Townhouse (fee simple own),Central air,81 - Townhouse Center Unit,Forced hot air,1988,2.00,2,0,0
750975605,11035020,t Applicable,1993-05-26,214000,1821 N OHIO ST,-Single Family Detached,Central air,11 - 1 Story,Forced hot air,1966,1.0,2,0,3
751646653,35008094,Partial Interest,1982-10-01,55750,728 15th ST S 00001,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1980,2.00,1,3,4
750921645,9016191,Not Previously Assessed,1999-05-17,486101,1635 N GEORGE MASON DR 170,-Commercial Condo,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1995,1.00,0,0,0
750799037,3064054,Not Previously Assessed,2007-12-10,1360000,3004 N STUART ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air-gas,2007,2.0,2,5,5
750855277,6001035,t Applicable,2014-12-19,1399000,2138 N STAFFORD ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1910,2.0,1,5,5
751795177,18014203,t Applicable,2019-05-16,573000,1201 N GARFIELD ST 604,-Condo High-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2006,1.0,0,1,2
751066381,14024149,t Applicable,2011-07-15,450000,1029 N STUART ST 505,-Condo Mid-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1985,2.00,0,2,3
750839693,5026014,t Applicable,1996-03-27,282000,4301 23rd RD N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1948,2.00,2,4,3
750788857,3047026,t Applicable,2015-04-24,1650000,3407 N VERMONT ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,2007,2.0,2,5,5
751600497,32013407,t Applicable,1981-11-17,35298,1400 S BARTON ST 407,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1939,2.00,0,1,1
751261697,18038007,t Applicable,2005-11-01,540000,729 N BARTON ST,-Single Family Detached,Central air,35 - 3 and 3+ sty,Forced hot air-gas,1935,3.0,1,5,6
751340277,22001491,t Applicable,2000-05-17,72000,800 S ARLINGTON MILL DR 13101,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1947,1.00,0,2,1
751747057,18025342,Financial Institution,2011-01-24,540000,1021 N GARFIELD ST 731,-Condo High-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2005,1.0,0,2,2
750851537,5056025,t Applicable,1995-08-07,154500,2111 N MONROE ST 00002,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1981,2.00,1,2,3
751779025,18014101,t Applicable,2006-10-31,325000,1205 N GARFIELD ST 910,-Condo High-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2005,1.0,0,1,1
751471005,28034794,t Applicable,1988-01-22,60464,4600 S FOUR MILE RUN DR 0817,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1965,1.00,0,1,1
751369181,23018021,t Applicable,2020-03-16,850000,3916 6th ST S,-Single Family Detached,Central air,61 - Bi-Level,Forced hot air,1957,,2,3,3
751600821,32013425,t Applicable,2000-10-25,105000,1400 S BARTON ST 425,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1939,2.00,0,1,1
751552905,30020465,Estate Sale,2003-10-30,321000,3606 S WAKEFIELD ST,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1940,2.00,0,2,2
751490465,29003876,t Applicable,1986-12-17,97900,2604 A S ARLINGTON MILL DR 00001,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1983,1.00,0,2,1
750881269,7006262,t Applicable,1982-08-02,169000,4672 20th ST N,-Townhouse (condo own),Central air,31 - 2 Story,Forced hot air,1978,2.00,1,3,4
751723845,14051755,t Applicable,2004-05-07,429900,851 N GLEBE RD 821,-Condo High-rise,Central air,152 -  Condominium Unit,Central Warm Air,2003,1.0,1,1,1
750786593,3043001,t Applicable,2019-06-05,970000,3441 N GLEBE RD,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1938,2.0,1,4,4
751659237,36033008,Short Sale,2017-06-15,910000,1038 22nd ST S,-Single Family Detached,Central air,31 - 2 Story,Central Warm Air,2001,2.0,1,5,4
750926117,9036002,t Applicable,2007-05-07,855000,1507 N JEFFERSON ST,-Single Family Detached,Central air,22 - 1 3/4 Story,Forced hot air,1940,1.75,1,4,4
750798829,3064043,t Applicable,1997-10-07,230000,4330 26th ST N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1952,2.00,4,3,4
751878881,17023094,t Applicable,2019-08-29,930000,1418 N RHODES ST B 416,-Condo Garden,Central air,152 -  Condominium Unit,Forced hot air-gas,2010,2.0,0,2,3
750787085,3044014,t Applicable,2004-03-23,850000,3412 N ABINGDON ST,-Single Family Detached,Central air,41 - 2 & 2+ sty  Estate,Forced hot air,1941,2.0,2,6,5
751423313,26008019,t Applicable,1995-08-31,157900,3813 16th ST S,-Single Family Detached,Central air,31 - 2 Story,Forced hot air-gas,2010,2.0,1,3,4
751837509,27007507,t Applicable,2012-04-10,306000,4163 S FOUR MILE RUN DR 301,-Condo Garden,Central air,152 -  Condominium Unit,Forced hot air-gas,1966,1.0,0,1,1
750849505,5051055,t Applicable,2022-10-07,1012500,2216 N LINCOLN ST,-Single Family Detached,Central air,62 - Split Foyer,Forced hot air,1971,,1,5,3
750795593,3060005,t Applicable,2013-11-19,850000,4852 33rd RD N,-Single Family Detached,Central air,12 - 1 Story with Attic,Forced hot air,1951,1.25,1,4,3
751712373,17037320,t Applicable,2003-10-20,1099000,1201 N NASH ST 401,-Condo Mid-rise,Central air,152 -  Condominium Unit,Central Warm Air,2002,1.0,0,2,3
751339041,22001420,t Applicable,2003-09-26,163400,812 S ARLINGTON MILL DR 7-102,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1947,1.00,0,2,1
750800637,3066087,t Applicable,2007-10-17,1195000,4228 N OLD GLEBE RD,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1904,2.0,3,4,4
751474561,28034981,t Applicable,2007-06-26,239000,4600 S FOUR MILE RUN DR 1236,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1965,1.00,0,2,1
751642005,35007033,t Applicable,1981-10-26,53550,1200 S ARLINGTON RIDGE RD 318,-Condo Mid-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1958,1.00,0,1,1
751539777,30014412,t Applicable,2019-07-12,385000,3607 S WAKEFIELD ST,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1940,2.00,0,2,2
751872013,16022182,t Applicable,2015-03-09,1649000,1881 N NASH ST 1710,-Condo High-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2009,1.0,0,2,3
751552725,30019839,t Applicable,2015-02-27,450000,4109 36th ST S,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1940,2.00,0,2,2
750760453,2074043,t Applicable,1989-07-24,322500,5623 LANGSTON BLVD,-Townhouse (fee simple own),Central air,71 - Townhouse End Unit,Forced hot air,1981,3.0,2,0,4
750893605,7027022,t Applicable,1988-03-11,233000,4407 16th ST N,-Single Family Detached,Central air,32 - 2-Story with Attic,Forced hot air,2022,2.25,2,5,7
751481301,29003354,t Applicable,2006-10-30,316500,4631 B 28th RD S B,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1950,1.00,1,2,1
750756501,2068002,t Applicable,1993-08-20,185000,5022 25th RD N,-Single Family Detached,Central air,12 - 1 Story with Attic,Forced hot air,1941,1.00,1,3,2
750796129,3060035,t Applicable,2022-07-08,1275000,3206 N GLEBE RD,-Single Family Detached,Central air,11 - 1 Story,Forced hot air,1953,1.00,2,3,3
750826493,4038039,t Applicable,1998-03-31,413000,3117 N NELSON ST,-Single Family Detached,Central air,61 - Bi-Level,Forced hot air,1955,1.0,2,4,4
750790369,3047109,t Applicable,2005-05-31,1335000,3141 N THOMAS ST,-Single Family Detached,Central air,22 - 1 3/4 Story,Forced hot air,1951,1.75,3,6,5
751777617,18014050,t Applicable,2021-09-30,620000,1205 N GARFIELD ST 405,-Condo High-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2005,1.0,0,2,2
751745777,18025291,t Applicable,2012-05-18,615000,1021 N GARFIELD ST 624,-Condo High-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2005,1.0,0,2,2
750784657,3038009,t Applicable,2008-09-15,825000,4516 37th ST N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1952,2.0,2,4,5
751488369,29003768,t Applicable,2012-05-15,380000,2572 C S ARLINGTON MILL DR 00003,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1982,2.00,1,2,2
750936565,9075014,t Applicable,1989-08-02,205000,1008 N FREDERICK ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air-gas,2011,2.0,1,5,4
750886677,7011063,t Applicable,2021-04-28,263000,2051 N WOODSTOCK ST 201,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1953,1.00,0,2,1
750789313,3047050,t Applicable,2002-04-03,520000,3342 N THOMAS ST,-Single Family Detached,Central air,"65 - Split-level, 5 levels",Forced hot air,1960,1.00,2,3,0
751653577,36013014,Estate Sale,2001-03-30,395000,614 18th ST S,-Duplex,None,38 - Duplex,Hot water,1944,2.00,0,0,3
751537537,30013281,t Applicable,2018-01-06,470000,3442 S UTAH ST B,-Condo Garden,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1940,2.00,0,2,2
750830089,5001073,t Applicable,2013-11-08,1475000,2636 MILITARY RD,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1996,2.0,1,5,6
750793281,3052013,t Applicable,2021-02-17,1570000,4545 32nd RD N,-Single Family Detached,Central air,33 - 2 1/2 sty,Forced hot air-gas,1938,2.50,2,5,5
750712057,1035003,Not Market Sale,1993-10-28,192500,6550 28th ST N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1951,2.00,1,3,3
750713121,1039003,t Applicable,2016-06-24,1630425,6844 28th ST N,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,2016,2.0,1,6,6
750851573,5056028,t Applicable,1998-09-03,144000,2113 N MONROE ST 00001,-Condo Stacked,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1981,2.00,1,2,2
750785201,3039016,t Applicable,1992-12-21,443333,4701 DITTMAR RD,-Single Family Detached,Central air,32 - 2-Story with Attic,Forced hot air-gas,2023,2.0,3,4,8
751800181,29014180,Not Previously Assessed,2006-09-28,566237,2720 S ARLINGTON MILL DR 1117,-Condo High-rise,,,Forced hot air-gas,0,1.0,0,0,0
750806441,4002048,Partial Interest,2001-05-07,58000,3401 N PEARY ST,-Single Family Detached,Central air,32 - 2-Story with Attic,Forced hot air-gas,2023,2.25,3,7,8
751066017,14024127,t Applicable,2011-10-20,320000,1029 N STUART ST 401,-Condo Mid-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1985,1.00,0,1,1
751561897,31008099,t Applicable,2004-10-29,450000,3009 20th CT S,-Townhouse (fee simple own),Central air,81 - Townhouse Center Unit,Forced hot air,1990,2.00,1,4,4
750775217,3019008,t Applicable,2003-06-27,501000,3543 N DELAWARE ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1950,2.00,1,3,2
751628781,35001319,t Applicable,1990-02-05,132696,1211 S EADS ST 1409,-Condo High-rise,Forced Cool Air,152 -  Condominium Unit,Forced hot air,1989,1.00,0,1,1
750794441,3057004,t Applicable,2003-01-22,795000,3252 N ABINGDON ST,-Single Family Detached,Central air,31 - 2 Story,Forced hot air,1940,2.0,1,4,4
751832677,34027393,t Applicable,2023-10-12,600000,3650 S GLEBE RD 365,-Condo High-rise,Central air,152 -  Condominium Unit,Forced hot air-gas,2007,1.0,0,2,2
