saleDateKey,saleDate,year,month,day,weekday,quarter
209,7/27/1980,1980,7,27,1,3
210,7/28/1980,1980,7,28,2,3
211,7/29/1980,1980,7,29,3,3
212,7/30/1980,1980,7,30,4,3
213,7/31/1980,1980,7,31,5,3
214,8/1/1980,1980,8,1,6,3
215,8/2/1980,1980,8,2,7,3
216,8/3/1980,1980,8,3,1,3
217,8/4/1980,1980,8,4,2,3
218,8/5/1980,1980,8,5,3,3
219,8/6/1980,1980,8,6,4,3
220,8/7/1980,1980,8,7,5,3
221,8/8/1980,1980,8,8,6,3
222,8/9/1980,1980,8,9,7,3
223,8/10/1980,1980,8,10,1,3
224,8/11/1980,1980,8,11,2,3
225,8/12/1980,1980,8,12,3,3
226,8/13/1980,1980,8,13,4,3
227,8/14/1980,1980,8,14,5,3
228,8/15/1980,1980,8,15,6,3
229,8/16/1980,1980,8,16,7,3
230,8/17/1980,1980,8,17,1,3
231,8/18/1980,1980,8,18,2,3
232,8/19/1980,1980,8,19,3,3
233,8/20/1980,1980,8,20,4,3
234,8/21/1980,1980,8,21,5,3
235,8/22/1980,1980,8,22,6,3
236,8/23/1980,1980,8,23,7,3
237,8/24/1980,1980,8,24,1,3
238,8/25/1980,1980,8,25,2,3
239,8/26/1980,1980,8,26,3,3
240,8/27/1980,1980,8,27,4,3
241,8/28/1980,1980,8,28,5,3
242,8/29/1980,1980,8,29,6,3
243,8/30/1980,1980,8,30,7,3
244,8/31/1980,1980,8,31,1,3
245,9/1/1980,1980,9,1,2,3
246,9/2/1980,1980,9,2,3,3
247,9/3/1980,1980,9,3,4,3
248,9/4/1980,1980,9,4,5,3
249,9/5/1980,1980,9,5,6,3
250,9/6/1980,1980,9,6,7,3
251,9/7/1980,1980,9,7,1,3
252,9/8/1980,1980,9,8,2,3
253,9/9/1980,1980,9,9,3,3
254,9/10/1980,1980,9,10,4,3
255,9/11/1980,1980,9,11,5,3
256,9/12/1980,1980,9,12,6,3
257,9/13/1980,1980,9,13,7,3
258,9/14/1980,1980,9,14,1,3
259,9/15/1980,1980,9,15,2,3
260,9/16/1980,1980,9,16,3,3
261,9/17/1980,1980,9,17,4,3
262,9/18/1980,1980,9,18,5,3
263,9/19/1980,1980,9,19,6,3
264,9/20/1980,1980,9,20,7,3
265,9/21/1980,1980,9,21,1,3
266,9/22/1980,1980,9,22,2,3
267,9/23/1980,1980,9,23,3,3
268,9/24/1980,1980,9,24,4,3
269,9/25/1980,1980,9,25,5,3
270,9/26/1980,1980,9,26,6,3
271,9/27/1980,1980,9,27,7,3
272,9/28/1980,1980,9,28,1,3
273,9/29/1980,1980,9,29,2,3
274,9/30/1980,1980,9,30,3,3
275,10/1/1980,1980,10,1,4,4
276,10/2/1980,1980,10,2,5,4
277,10/3/1980,1980,10,3,6,4
278,10/4/1980,1980,10,4,7,4
279,10/5/1980,1980,10,5,1,4
280,10/6/1980,1980,10,6,2,4
281,10/7/1980,1980,10,7,3,4
282,10/8/1980,1980,10,8,4,4
283,10/9/1980,1980,10,9,5,4
284,10/10/1980,1980,10,10,6,4
285,10/11/1980,1980,10,11,7,4
286,10/12/1980,1980,10,12,1,4
287,10/13/1980,1980,10,13,2,4
288,10/14/1980,1980,10,14,3,4
289,10/15/1980,1980,10,15,4,4
290,10/16/1980,1980,10,16,5,4
291,10/17/1980,1980,10,17,6,4
292,10/18/1980,1980,10,18,7,4
293,10/19/1980,1980,10,19,1,4
294,10/20/1980,1980,10,20,2,4
295,10/21/1980,1980,10,21,3,4
296,10/22/1980,1980,10,22,4,4
297,10/23/1980,1980,10,23,5,4
298,10/24/1980,1980,10,24,6,4
299,10/25/1980,1980,10,25,7,4
300,10/26/1980,1980,10,26,1,4
301,10/27/1980,1980,10,27,2,4
302,10/28/1980,1980,10,28,3,4
303,10/29/1980,1980,10,29,4,4
304,10/30/1980,1980,10,30,5,4
305,10/31/1980,1980,10,31,6,4
306,11/1/1980,1980,11,1,7,4
307,11/2/1980,1980,11,2,1,4
308,11/3/1980,1980,11,3,2,4
309,11/4/1980,1980,11,4,3,4
310,11/5/1980,1980,11,5,4,4
311,11/6/1980,1980,11,6,5,4
312,11/7/1980,1980,11,7,6,4
313,11/8/1980,1980,11,8,7,4
314,11/9/1980,1980,11,9,1,4
315,11/10/1980,1980,11,10,2,4
316,11/11/1980,1980,11,11,3,4
317,11/12/1980,1980,11,12,4,4
318,11/13/1980,1980,11,13,5,4
319,11/14/1980,1980,11,14,6,4
320,11/15/1980,1980,11,15,7,4
321,11/16/1980,1980,11,16,1,4
322,11/17/1980,1980,11,17,2,4
323,11/18/1980,1980,11,18,3,4
324,11/19/1980,1980,11,19,4,4
325,11/20/1980,1980,11,20,5,4
326,11/21/1980,1980,11,21,6,4
327,11/22/1980,1980,11,22,7,4
328,11/23/1980,1980,11,23,1,4
329,11/24/1980,1980,11,24,2,4
330,11/25/1980,1980,11,25,3,4
331,11/26/1980,1980,11,26,4,4
332,11/27/1980,1980,11,27,5,4
333,11/28/1980,1980,11,28,6,4
334,11/29/1980,1980,11,29,7,4
335,11/30/1980,1980,11,30,1,4
336,12/1/1980,1980,12,1,2,4
337,12/2/1980,1980,12,2,3,4
338,12/3/1980,1980,12,3,4,4
339,12/4/1980,1980,12,4,5,4
340,12/5/1980,1980,12,5,6,4
341,12/6/1980,1980,12,6,7,4
342,12/7/1980,1980,12,7,1,4
343,12/8/1980,1980,12,8,2,4
344,12/9/1980,1980,12,9,3,4
345,12/10/1980,1980,12,10,4,4
346,12/11/1980,1980,12,11,5,4
347,12/12/1980,1980,12,12,6,4
348,12/13/1980,1980,12,13,7,4
349,12/14/1980,1980,12,14,1,4
350,12/15/1980,1980,12,15,2,4
351,12/16/1980,1980,12,16,3,4
352,12/17/1980,1980,12,17,4,4
353,12/18/1980,1980,12,18,5,4
354,12/19/1980,1980,12,19,6,4
355,12/20/1980,1980,12,20,7,4
356,12/21/1980,1980,12,21,1,4
357,12/22/1980,1980,12,22,2,4
358,12/23/1980,1980,12,23,3,4
359,12/24/1980,1980,12,24,4,4
360,12/25/1980,1980,12,25,5,4
361,12/26/1980,1980,12,26,6,4
362,12/27/1980,1980,12,27,7,4
363,12/28/1980,1980,12,28,1,4
364,12/29/1980,1980,12,29,2,4
365,12/30/1980,1980,12,30,3,4
366,12/31/1980,1980,12,31,4,4
367,1/1/1981,1981,1,1,5,1
368,1/2/1981,1981,1,2,6,1
369,1/3/1981,1981,1,3,7,1
370,1/4/1981,1981,1,4,1,1
371,1/5/1981,1981,1,5,2,1
372,1/6/1981,1981,1,6,3,1
373,1/7/1981,1981,1,7,4,1
374,1/8/1981,1981,1,8,5,1
375,1/9/1981,1981,1,9,6,1
376,1/10/1981,1981,1,10,7,1
377,1/11/1981,1981,1,11,1,1
378,1/12/1981,1981,1,12,2,1
379,1/13/1981,1981,1,13,3,1
380,1/14/1981,1981,1,14,4,1
381,1/15/1981,1981,1,15,5,1
382,1/16/1981,1981,1,16,6,1
383,1/17/1981,1981,1,17,7,1
384,1/18/1981,1981,1,18,1,1
385,1/19/1981,1981,1,19,2,1
386,1/20/1981,1981,1,20,3,1
387,1/21/1981,1981,1,21,4,1
388,1/22/1981,1981,1,22,5,1
389,1/23/1981,1981,1,23,6,1
390,1/24/1981,1981,1,24,7,1
391,1/25/1981,1981,1,25,1,1
392,1/26/1981,1981,1,26,2,1
393,1/27/1981,1981,1,27,3,1
394,1/28/1981,1981,1,28,4,1
395,1/29/1981,1981,1,29,5,1
396,1/30/1981,1981,1,30,6,1
397,1/31/1981,1981,1,31,7,1
398,2/1/1981,1981,2,1,1,1
399,2/2/1981,1981,2,2,2,1
400,2/3/1981,1981,2,3,3,1
401,2/4/1981,1981,2,4,4,1
402,2/5/1981,1981,2,5,5,1
403,2/6/1981,1981,2,6,6,1
404,2/7/1981,1981,2,7,7,1
405,2/8/1981,1981,2,8,1,1
406,2/9/1981,1981,2,9,2,1
407,2/10/1981,1981,2,10,3,1
408,2/11/1981,1981,2,11,4,1
409,2/12/1981,1981,2,12,5,1
410,2/13/1981,1981,2,13,6,1
411,2/14/1981,1981,2,14,7,1
412,2/15/1981,1981,2,15,1,1
413,2/16/1981,1981,2,16,2,1
414,2/17/1981,1981,2,17,3,1
415,2/18/1981,1981,2,18,4,1
416,2/19/1981,1981,2,19,5,1
417,2/20/1981,1981,2,20,6,1
418,2/21/1981,1981,2,21,7,1
419,2/22/1981,1981,2,22,1,1
420,2/23/1981,1981,2,23,2,1
421,2/24/1981,1981,2,24,3,1
422,2/25/1981,1981,2,25,4,1
423,2/26/1981,1981,2,26,5,1
424,2/27/1981,1981,2,27,6,1
425,2/28/1981,1981,2,28,7,1
426,3/1/1981,1981,3,1,1,1
427,3/2/1981,1981,3,2,2,1
428,3/3/1981,1981,3,3,3,1
429,3/4/1981,1981,3,4,4,1
430,3/5/1981,1981,3,5,5,1
431,3/6/1981,1981,3,6,6,1
432,3/7/1981,1981,3,7,7,1
433,3/8/1981,1981,3,8,1,1
434,3/9/1981,1981,3,9,2,1
435,3/10/1981,1981,3,10,3,1
436,3/11/1981,1981,3,11,4,1
437,3/12/1981,1981,3,12,5,1
438,3/13/1981,1981,3,13,6,1
439,3/14/1981,1981,3,14,7,1
440,3/15/1981,1981,3,15,1,1
441,3/16/1981,1981,3,16,2,1
442,3/17/1981,1981,3,17,3,1
443,3/18/1981,1981,3,18,4,1
444,3/19/1981,1981,3,19,5,1
445,3/20/1981,1981,3,20,6,1
446,3/21/1981,1981,3,21,7,1
447,3/22/1981,1981,3,22,1,1
